primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
Software incorrectly ID’d moss/bark as moth species and no way to report false ID ('disagree' button suggested),Dev Meeting,52,,,,,,,,,,,,,,,,,,,,,,,,,Software incorrectly ID’d moss/bark as moth species and no way to report false ID ('disagree' button suggested),[5] (Workshop Notes)
"""Pipeline"" tag isn't really clear",Dev Meeting,53,,,,,,,,,,,,,,,,,,,,,,,,,"""Pipeline"" tag isn't really clear",[5] (Workshop Notes)
Add deployment count column to Device Types list,Dev Meeting,54,,,,,,,,,,,,,,,,,,,,,,,,,Add deployment count column to Device Types list,[5] (Workshop Notes)
Summary shows capture/hr and sessions/month distributions - suggest other relevant data,Dev Meeting,55,,,,,,,,,,,,,,,,,,,,,,,,,Summary shows capture/hr and sessions/month distributions - suggest other relevant data,[5] (Workshop Notes)
Image illustrating projects should be scaled to the size of the rectangular window,Dev Meeting,56,,,,,,,,,,,,,,,,,,,,,,,,,Image illustrating projects should be scaled to the size of the rectangular window,[5] (Workshop Notes)
Documentation - for users (user guide) and developers,Dev Meeting,57,,,,,,,,,,,,Documentation & Support,,,,,,,,,,,,,Documentation - for users (user guide) and developers,"[1], [4] (Dev Backlog), [3] (Big Picture Gaps)"
Use LLM to help with the table of contents / outline for documentation,Dev Meeting,58,,,,,,,,,,,,,,,,,,,,,,,,,Use LLM to help with the table of contents / outline for documentation,"[1], [4] (Dev Backlog)"
Link to documentation (and write documentation),Dev Meeting,59,,,,,,,,,,,,,,,,,,,,,,,,,Link to documentation (and write documentation),"[1], [4] (2026 Planning)"
Reset password when not logged in (Unstable/Backend configuration incomplete),Dev Meeting,60,,,,,,,,,,,,,,,,,,,,,,,,,Reset password when not logged in (Unstable/Backend configuration incomplete),[2] (Workflow Gaps)
Configure processing services for a project (Needs documentation),Dev Meeting,61,,,,,,,,,,,,,,,,,,,,,,,,,Configure processing services for a project (Needs documentation),[2] (Workflow Gaps)
Configure pipelines for a project (Needs documentation),Dev Meeting,62,,,,,,,,,,,,,,,,,,,,,,,,,Configure pipelines for a project (Needs documentation),[2] (Workflow Gaps)
Configure a storage for project (Needs documentation),Dev Meeting,63,,,,,,,,,,,,,,,,,,,,,,,,,Configure a storage for project (Needs documentation),[2] (Workflow Gaps)
Configure a data source for a station (Needs documentation),Dev Meeting,64,,,,,,,,,,,,,,,,,,,,,,,,,Configure a data source for a station (Needs documentation),[2] (Workflow Gaps)
Documentation of how to re-train a model with data from Antenna,Dev Meeting,65,,,,,,,,,,,,,,,,,,,,,,,,,Documentation of how to re-train a model with data from Antenna,[3] (Big Picture Gaps)
"Reworking collections (dynamic filters vs. fixed datasets, predefined/dynamic presets, need for collections for processing, occurrence collections)",Dev Meeting,66,,,,,,,,,,,,Miscellaneous Gaps,,,,,,,,,,,,,"Reworking collections (dynamic filters vs. fixed datasets, predefined/dynamic presets, need for collections for processing, occurrence collections)",[3] (Big Picture Gaps)
Knowing what’s been processed (images uploaded/in a project/in a collection),Dev Meeting,67,,,,,,,,,,,,,,,,,,,,,,,,,Knowing what’s been processed (images uploaded/in a project/in a collection),[3] (Big Picture Gaps)
Knowing what’s been verified (progress bar reflection),Dev Meeting,68,,,,,,,,,,,,,,,,,,,,,,,,,Knowing what’s been verified (progress bar reflection),[3] (Big Picture Gaps)
Regex null bug (UI gap),Dev Meeting,69,,,,,,,,,,,,,,,,,,,,,,,,,Regex null bug (UI gap),[3] (Big Picture Gaps)
"Processing Stability & Speed (e.g., switching to producer/consumer model, fixing processing v2 problems, ensuring jobs don't stall).",Alignment meeting notes,1,,,,,,,,,,,,Core Platform & Workflow,,,"Processing Stability & Speed (e.g., switching to producer/consumer model, fixing processing v2 problems, ensuring jobs don't stall).",,,,,,,,,,,
"Project & Team Management (e.g., UI & API for managing user roles, configuring members for a project, copy projects, setting projects to drafts).",Alignment meeting notes,2,,,,,,,,,,,,,,,"Project & Team Management (e.g., UI & API for managing user roles, configuring members for a project, copy projects, setting projects to drafts).",,,,,,,,,,,
"User Account Management (e.g., re-enabling self-service sign-up, fixing password reset functionality).",Alignment meeting notes,3,,,,,,,,,,,,,,,"User Account Management (e.g., re-enabling self-service sign-up, fixing password reset functionality).",,,,,,,,,,,
"Platform Vision/Strategy (e.g., defining goals & milestones for 2026, creating a decision matrix for priorities, outlining the bigger vision).",Alignment meeting notes,4,,,,,,,,,,,,,,,"Platform Vision/Strategy (e.g., defining goals & milestones for 2026, creating a decision matrix for priorities, outlining the bigger vision).",,,,,,,,,,,
"Data Uploader (e.g., easier data import/desktop application for uploading data from machines/SD cards, import list of public HTTP URLs).",Alignment meeting notes,5,,,,,,,,,,,,Data Ingestion & Export,,,"Data Uploader (e.g., easier data import/desktop application for uploading data from machines/SD cards, import list of public HTTP URLs).",,,,,,,,,,,
"Importing Externally Processed Data (e.g., Detections, Predictions, data from private HPC).",Alignment meeting notes,6,,,,,,,,,,,,,,,"Importing Externally Processed Data (e.g., Detections, Predictions, data from private HPC).",,,,,,,,,,,
"Export Formats (e.g., Darwin Core/Camtrap DP Export, COCO/YOLO formats for ML retraining, add missing fields to CSV export like image source/size).",Alignment meeting notes,7,,,,,,,,,,,,,,,"Export Formats (e.g., Darwin Core/Camtrap DP Export, COCO/YOLO formats for ML retraining, add missing fields to CSV export like image source/size).",,,,,,,,,,,
"Generalized Pipeline (e.g., general insect detector, global moth classifier, pipeline that works for a wider variety of cameras).",Alignment meeting notes,8,,,,,,,,,,,,ML & Processing Features,,,"Generalized Pipeline (e.g., general insect detector, global moth classifier, pipeline that works for a wider variety of cameras).",,,,,,,,,,,
"Better Detector/Segmenter (e.g., segmentation detector, handling overlapping moths/multiple objects in one bounding box).",Alignment meeting notes,9,,,,,,,,,,,,,,,"Better Detector/Segmenter (e.g., segmentation detector, handling overlapping moths/multiple objects in one bounding box).",,,,,,,,,,,
"Model Management (e.g., model orchestration & revision, deploying new models, ability to demo models easily, documenting how to re-train a model).",Alignment meeting notes,10,,,,,,,,,,,,,,,"Model Management (e.g., model orchestration & revision, deploying new models, ability to demo models easily, documenting how to re-train a model).",,,,,,,,,,,
"Knowing What's Processed (e.g., progress bar, how many images have been processed).",Alignment meeting notes,11,,,,,,,,,,,,,,,"Knowing What's Processed (e.g., progress bar, how many images have been processed).",,,,,,,,,,,
"Post-Processing Functions (e.g., Class Masking, small detections filter, blurry/darkness filter, tracking sequential detections).",Alignment meeting notes,12,,,,,,,,,,,,Post-Processing & Filtering,,,"Post-Processing Functions (e.g., Class Masking, small detections filter, blurry/darkness filter, tracking sequential detections).",,,,,,,,,,,
"Confidence & Uncertainty in UI (e.g., displaying species-level accuracy, filter for confidence in Taxa view, calibration to tell you what to verify).",Alignment meeting notes,13,,,,,,,,,,,,,,,"Confidence & Uncertainty in UI (e.g., displaying species-level accuracy, filter for confidence in Taxa view, calibration to tell you what to verify).",,,,,,,,,,,
"Taxonomy Features (e.g., adding new species to taxonomy, project-based taxonomy, cryptic species status, mapping taxa to algorithms, bulk import of taxa lists).",Alignment meeting notes,14,,,,,,,,,,,,,,,"Taxonomy Features (e.g., adding new species to taxonomy, project-based taxonomy, cryptic species status, mapping taxa to algorithms, bulk import of taxa lists).",,,,,,,,,,,
"Rank Rollup & Prediction (e.g., Taxon rank rollup for low confidence results, predicting to order level by default).",Alignment meeting notes,15,,,,,,,,,,,,,,,"Rank Rollup & Prediction (e.g., Taxon rank rollup for low confidence results, predicting to order level by default).",,,,,,,,,,,
"Labeling Interface Improvements (e.g., bulk labeling from grid view, manually editing bounding box annotations, verification features in gallery view).",Alignment meeting notes,16,,,,,,,,,,,,User Interface & Experience,,,"Labeling Interface Improvements (e.g., bulk labeling from grid view, manually editing bounding box annotations, verification features in gallery view).",,,,,,,,,,,
"Data Visualization (e.g., charts/stats within the UI, flight charts for taxa, displaying which species the model is better or worse at).",Alignment meeting notes,17,,,,,,,,,,,,,,,"Data Visualization (e.g., charts/stats within the UI, flight charts for taxa, displaying which species the model is better or worse at).",,,,,,,,,,,
"Documentation (e.g., User Guide v1, ML developer guide, documentation within the app, documentation for processing services/pipelines).",Alignment meeting notes,18,,,,,,,,,,,,,,,"Documentation (e.g., User Guide v1, ML developer guide, documentation within the app, documentation for processing services/pipelines).",,,,,,,,,,,
"UI Gaps/Fixes (e.g., consistent saving behavior, more quick buttons for processing, show best detection image in taxa view, removing ""null"" in data sync view).",Alignment meeting notes,19,,,,,,,,,,,,,,,"UI Gaps/Fixes (e.g., consistent saving behavior, more quick buttons for processing, show best detection image in taxa view, removing ""null"" in data sync view).",,,,,,,,,,,
"Unstable Functions (e.g., password reset unstable, sign-up disabled, project creation disabled for most users).",Alignment meeting notes,20,,,,,,,,,,,,Bugs & Issues,,,"Unstable Functions (e.g., password reset unstable, sign-up disabled, project creation disabled for most users).",,,,,,,,,,,
"Processing Bugs (e.g., processing jobs stalling, status updates incorrect, errors with ML results).",Alignment meeting notes,21,,,,,,,,,,,,,,,"Processing Bugs (e.g., processing jobs stalling, status updates incorrect, errors with ML results).",,,,,,,,,,,
"Data Integrity Issues (e.g., sessions not automatically created after sync, ""null"" returning to data sync view, Can’t update name/parents/tags).",Alignment meeting notes,22,,,,,,,,,,,,,,,"Data Integrity Issues (e.g., sessions not automatically created after sync, ""null"" returning to data sync view, Can’t update name/parents/tags).",,,,,,,,,,,
Which features before April 2026?,Antenna big picture gaps,1,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Which features before April 2026?,,,,,,,,,
Which need to be self service from a centrally hosted platform?,Antenna big picture gaps,2,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Which need to be self service from a centrally hosted platform?,,,,,,,,,
Which need a planning & prototype sprint,Antenna big picture gaps,3,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Which need a planning & prototype sprint,,,,,,,,,
Which features are meant to be an MVP or prototype and which do we know need to be created for production?,Antenna big picture gaps,4,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Which features are meant to be an MVP or prototype and which do we know need to be created for production?,,,,,,,,,
Which features need to be self-service & which need to just be doable at all (likely be admin)?,Antenna big picture gaps,5,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Which features need to be self-service & which need to just be doable at all (likely be admin)?,,,,,,,,,
Are we trying to make an app for everyone? Are we supporting 2-3 significant partners?,Antenna big picture gaps,6,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Are we trying to make an app for everyone? Are we supporting 2-3 significant partners?,,,,,,,,,
Simplicity vs. feature richness,Antenna big picture gaps,7,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Simplicity vs. feature richness,,,,,,,,,
Which partner types? Which partner types need self-service?,Antenna big picture gaps,8,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Which partner types? Which partner types need self-service?,,,,,,,,,
"NRCAN (government, landscape scale) - (always a custom deployment with support?)",Antenna big picture gaps,9,,,,,,,,,,,,High-Level Questions/Planning (Partner Types),Antenna gaps - big picture,,,,"NRCAN (government, landscape scale) - (always a custom deployment with support?)",,,,,,,,,
"Mothitor project, Maxim’s projects (research labs) - (maybe the most priority for self-service features)",Antenna big picture gaps,10,,,,,,,,,,,,High-Level Questions/Planning (Partner Types),Antenna gaps - big picture,,,,"Mothitor project, Maxim’s projects (research labs) - (maybe the most priority for self-service features)",,,,,,,,,
"LepiNoc (citizen science) - (exciting, but maybe has different requirements, mobile app)",Antenna big picture gaps,11,,,,,,,,,,,,High-Level Questions/Planning (Partner Types),Antenna gaps - big picture,,,,"LepiNoc (citizen science) - (exciting, but maybe has different requirements, mobile app)",,,,,,,,,
Document full vision of what is needed for a complete AMI solution at scale to show vision & gaps,Antenna big picture gaps,12,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Document full vision of what is needed for a complete AMI solution at scale to show vision & gaps,,,,,,,,,
Which of these empower & accelerate teams in what they are already,Antenna big picture gaps,13,,,,,,,,,,,,High-Level Questions/Planning,Antenna gaps - big picture,,,,Which of these empower & accelerate teams in what they are already,,,,,,,,,
Documentation & doc links within app,Antenna big picture gaps,14,,,,,,,,,,,,Categories of features,Antenna gaps - big picture,,,,Documentation & doc links within app,,,,,,,,,
Role management (what about adding new users?),Antenna big picture gaps,15,,,,,,,,,,,,Categories of features,Antenna gaps - big picture,,,,Role management (what about adding new users?),,,,,,,,,
Reworking collections - clarifying & solidifying dynamic filters vs. fixed datasets.,Antenna big picture gaps,16,,,,,,,,,,,,Reworking collections,Antenna gaps - big picture,,,,Reworking collections - clarifying & solidifying dynamic filters vs. fixed datasets.,,,,,,,,,
Will we always require collections for processing?,Antenna big picture gaps,17,,,,,,,,,,,,Reworking collections,Antenna gaps - big picture,,,,Will we always require collections for processing?,,,,,,,,,
Occurrence collections,Antenna big picture gaps,18,,,,,,,,,,,,Reworking collections,Antenna gaps - big picture,,,,Occurrence collections,,,,,,,,,
"Predefined collections / Dynamic presets (One per station, 10 minute snapshots, Greatest filesize & last image per night)",Antenna big picture gaps,19,,,,,,,,,,,,Reworking collections,Antenna gaps - big picture,,,,"Predefined collections / Dynamic presets (One per station, 10 minute snapshots, Greatest filesize & last image per night)",,,,,,,,,
How can we make collections more natural in the workflow,Antenna big picture gaps,20,,,,,,,,,,,,Reworking collections,Antenna gaps - big picture,,,,How can we make collections more natural in the workflow,,,,,,,,,
Processing stability,Antenna big picture gaps,21,,,,,,,,,,,,Categories of features,Antenna gaps - big picture,,,,Processing stability,,,,,,,,,
